Issue Number,Username,Labels,State,Assignee,Milestone,Created At,Closed At,Created-Closed Time Difference(Days)
39,user2,Dead End|Step 2: Summarize|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459745,1427120228,30.79262731
38,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459730,1427126719,30.86792824
37,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459715,1427126959,30.87087963
36,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459697,1427126636,30.86734954
35,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459670,1427126439,30.86538194
34,user2,Step 3: Adds Dimension|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424459655,1427200341,31.72090278
33,user2,Key article|,closed,user2,Project 1A: Preliminary Report,1424458562,1425319920,9.969421296
32,user2,Our Process|,closed,none,none,1424457794,1425314951,9.920798611
31,user1,Our Process|,closed,none,Define Outline of Final Report,1424148381,1427118487,34.37622685
30,user1,Our Process|,closed,none,Define Outline of Final Report,1424148339,1427118499,34.37685185
29,user2,Step 4: Dimension added to grid|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424103859,1427118756,34.8946412
28,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424103400,1427126202,34.98613426
27,user2,Dead End|Step 3: Adds Dimension|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424103387,1427200412,35.84519676
26,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424103361,1427124854,34.9709838
25,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424103263,1427125837,34.98349537
24,user2,Step 4: Dimension added to grid|,closed,user2,Add Info of Relevant Papers,1424103242,1427123542,34.95717593
23,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424103224,1427125587,34.98105324
22,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424103197,1427125434,34.97959491
21,user2,Step 4: Dimension added to grid|,closed,user2,Add Info of Relevant Papers,1424103172,1427124091,34.96434028
20,user2,Step 4: Dimension added to grid|,closed,user2,Add Info of Relevant Papers,1424103153,1427124194,34.96575231
19,user2,Step 4: Dimension added to grid|,closed,user2,Add Info of Relevant Papers,1424103132,1427124234,34.96645833
18,user2,Step 4: Dimension added to grid|,closed,user2,Add Info of Relevant Papers,1424103115,1427124295,34.96736111
17,user2,Step 4: Dimension added to grid|,closed,user2,Add Info of Relevant Papers,1424103098,1427124388,34.96863426
16,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424103075,1427125230,34.97864583
15,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424102999,1427125009,34.97696759
14,user2,Dead End|Key article|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424102981,1427200259,35.848125
13,user2,Dead End|Step 3: Adds Dimension|,closed,user2,Add Info of Relevant Papers,1424102954,1427200778,35.85444444
12,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424102930,1427124715,34.97436343
11,user2,Step 3: Adds Dimension|Step 4: Dimension added to grid|,closed,user2,Add Info of Relevant Papers,1424102892,1427200857,35.85607639
10,user1,Our Process|,closed,none,none,1424101991,1424467072,4.225474537
9,user2,Key article|Step 2: Summarize|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424100095,1427200542,35.88480324
8,user2,Key article|,closed,user1,Project 1A: Preliminary Report,1424099416,1426174790,24.02053241
7,user2,,closed,none,none,1424099113,1424460605,4.183935185
6,user2,,closed,none,none,1424099008,1424460605,4.185150463
5,user2,,closed,none,none,1424098938,1424460605,4.185960648
4,user2,,closed,none,Add ALL resources to Paper Comparison RepGrid,1424098839,1424460611,4.187175926
3,user2,Step 1: Relevant Paper|Step 2: Summarize|Step 3: Adds Dimension|,closed,none,none,1424098703,1425314764,14.07478009
2,user1,Step 2: Summarize|,closed,user2,none,1423609700,1425315231,19.73994213
1,user1,Question: Needs review from others|,closed,user1,none,1423609543,1425315201,19.74141204
