Issue Number,Username,Labels,State,Assignee,Milestone,Created At,Closed At,Created-Closed Time Difference(Days)
96,user1,,closed,user1,none,1427912965,1427948884,0.415729167
95,user1,,closed,user1,none,1427912612,1427912869,0.002974537
94,user1,,closed,user2,none,1427912407,1428004380,1.064502315
93,user1,,closed,user2,none,1427912123,1428006439,1.09162037
92,user1,,closed,user1,none,1427912067,1427920693,0.099837963
91,user1,,closed,user1,none,1427911998,1427942013,0.347395833
90,user1,,closed,user2,none,1427911790,1428334620,4.893865741
89,user1,,closed,user1,none,1427911723,1427948637,0.42724537
88,user2,Writing|,closed,user2,Submit Final Project Report,1427896128,1428007448,1.288425926
87,user2,Writing|,closed,user1,Submit Final Project Report,1427896107,1427944272,0.557465278
86,user2,Writing|,closed,user1,Submit Final Project Report,1427895158,1427920745,0.296145833
85,user2,Writing|,closed,user1,Submit Final Project Report,1427895064,1427920693,0.296631944
84,user2,Grid|,closed,user2,Full paper draft,1427744688,1427744850,0.001875
83,user2,Our Process|Writing|,closed,user1,Full paper draft,1427317032,1427462916,1.688472222
82,user2,Writing|,closed,user2,Full paper draft,1427294549,1427717929,4.900231481
81,user2,Writing|,closed,user2,Full paper draft,1427294525,1427717941,4.900648148
80,user2,In Progress|Writing|,closed,user2,Full paper draft,1427294475,1427717950,4.901331019
79,user2,In Progress|Writing|,closed,user2,Full paper draft,1427294449,1427717956,4.901701389
78,user2,In Progress|Writing|,closed,user2,Full paper draft,1427294419,1427717962,4.902118056
77,user2,Writing|,closed,user2,Full paper draft,1427294392,1427744632,5.211111111
76,user2,Writing|,closed,user2,Full paper draft,1427294369,1427744640,5.211469907
75,user2,Writing|,closed,user1,Full paper draft,1427231813,1427462953,2.675231481
74,user2,Writing|,closed,user1,Full paper draft,1427231765,1427462775,2.673726852
73,user2,Grid|,closed,user1,Finalize Rep Grid,1427231699,1427462977,2.676828704
72,user2,Grid|,closed,user2,Finalize Rep Grid,1427214686,1427219616,0.057060185
71,user1,Writing|,closed,user1,Full paper draft,1427201274,1427462935,3.028483796
70,user2,Grid|,closed,none,Finalize Rep Grid,1427201233,1427201322,0.001030093
69,user2,Grid|,closed,none,Finalize Rep Grid,1427201088,1427231528,0.352314815
68,user2,Grid|,closed,user2,Finalize Rep Grid,1427200694,1427220024,0.223726852
67,user2,Writing|,closed,user2,Full paper draft,1427117442,1427744645,7.259293981
66,user1,,closed,user1,Project 1A: Preliminary Report,1425313478,1426174770,9.968657407
65,user2,,closed,user2,Project 1A: Preliminary Report,1425313215,1425323369,0.117523148
64,user2,,closed,user2,Project 1A: Preliminary Report,1425313181,1425323320,0.117349537
63,user2,,closed,user2,Add Info of Relevant Papers,1425313148,1427200928,21.84930556
62,user2,Our Process|,closed,user2,Project 1A: Preliminary Report,1425313042,1425319976,0.08025463
61,user2,Step 2: Summarize|,closed,user2,none,1424697663,1424697689,0.000300926
60,user2,Step 4: Dimension added to grid|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460182,1427118607,30.76880787
59,user2,Dead End|Step 3: Adds Dimension|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460164,1426621540,25.01592593
58,user2,Step 4: Dimension added to grid|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460149,1427118649,30.76967593
57,user2,Step 4: Dimension added to grid|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460126,1427120219,30.78811343
56,user2,Step 4: Dimension added to grid|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460119,1427120361,30.78983796
55,user2,Dead End|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460073,1427118687,30.77099537
54,user2,Dead End|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460052,1427200259,31.7153588
53,user2,Step 4: Dimension added to grid|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460036,1427120877,30.79677083
52,user2,Step 4: Dimension added to grid|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424460006,1427121088,30.79956019
51,user2,If time|Step 3: Adds Dimension|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424459983,1427200320,31.71686343
50,user2,If time|Step 1: Relevant Paper|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424459961,1427200275,31.71659722
49,user2,Dead End|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424459943,1427200259,31.71662037
48,user2,If time|Step 1: Relevant Paper|,closed,user2,Add ALL resources to Paper Comparison RepGrid,1424459916,1427200275,31.71711806
47,user2,Dead End|Step 0: Determine if relevant|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459899,1426534621,24.01298611
46,user2,Key article|Step 4: Dimension added to grid|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459877,1427123873,30.83328704
45,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459852,1427118246,30.76844907
44,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459834,1427119089,30.77841435
43,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459813,1427124130,30.83700231
42,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459795,1427124255,30.83865741
41,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459776,1427124422,30.84081019
40,user2,Dead End|,closed,user1,Add ALL resources to Paper Comparison RepGrid,1424459758,1427126530,30.86541667
