Issue,Timestamp,Action,Label,User,Milestone
25,1424103263,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
26,1427124850,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
26,1427124850,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
26,1424103361,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
27,1427217912,labeled,Dead End,user1,Add ALL resources to Paper Comparison RepGrid
27,1426793739,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
27,1426793739,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
27,1426791827,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
27,1426791827,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
27,1426781358,labeled,non-paywall,user1,Add ALL resources to Paper Comparison RepGrid
27,1424103387,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
28,1427126199,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
28,1427126199,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
28,1424103400,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
29,1426875420,unlabeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
29,1426875420,labeled,Step 4: Dimension added to grid,user1,Add ALL resources to Paper Comparison RepGrid
29,1426793989,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
29,1426793989,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
29,1426784805,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
29,1426784805,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
29,1426781325,labeled,Paywall,user1,Add ALL resources to Paper Comparison RepGrid
29,1424103859,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
30,1424460579,labeled,Our Process,user1,Define Outline of Final Report
31,1424460579,labeled,Our Process,user1,Define Outline of Final Report
32,1424460579,labeled,Our Process,user1,None
33,1425319815,unlabeled,Step 4: Read in depth,user1,Project 1A: Preliminary Report
33,1425319815,labeled,Step 5: Reviewed References,user1,Project 1A: Preliminary Report
33,1425319808,unlabeled,Step 3: Adds Dimension,user1,Project 1A: Preliminary Report
33,1425319808,labeled,Step 4: Read in depth,user1,Project 1A: Preliminary Report
33,1425319800,labeled,Step 3: Adds Dimension,user1,Project 1A: Preliminary Report
33,1425319650,unlabeled,Step 2: Summarize,user1,Project 1A: Preliminary Report
33,1424464650,unlabeled,Step 1: Relevant Paper,user1,Project 1A: Preliminary Report
33,1424464650,labeled,Step 2: Summarize,user1,Project 1A: Preliminary Report
33,1424461622,labeled,Key article,user1,Project 1A: Preliminary Report
33,1424458562,labeled,Step 1: Relevant Paper,user1,Project 1A: Preliminary Report
34,1426793231,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
34,1426793231,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
34,1426790384,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
34,1426790384,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
34,1426781265,labeled,non-paywall,user1,Add ALL resources to Paper Comparison RepGrid
34,1426626977,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
34,1426626977,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
34,1424459655,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
35,1427126437,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
35,1427126437,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
35,1424459670,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
36,1427126635,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
36,1427126635,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
